Peak,Route Name,State,Location,Summit Elevation,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,,,
Mt. Rainier,Disappointment Cleaver,Washington,Mt. Rainier Nat. Park,14410,C,9000,150,3.50,two or more days,Summer-Autumn,Yes,none,up to 35 degrees,No,Yes,Snow,"The Disappointment Cleaver route on Rainier is the most climbed route on the mountain, and is among the least technical.  With Rainier Mountaineering guiding the majority is their clients up this route, the Cleaver sees a lot the approximately 10,000 annual summit attempts.  This is a long strenuous climb (9,000 vertical feet) and demands solid aerobic conditioning.   $30 climb fee per person.  Call the NPS or see their web site for the latest permit regulations.  The Ingraham Glacier route is an alternative often used in early season when avy danger is high on the Cleaver route.  Try it on a weekday for more solitude.","Climbers Guide to the Cascade Volcanoes by Jeff Smoot 
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey 
Climbs in the Cascades by Nelson and Potterfield",,"Mt Rainier NP, Park HQ: 360-569-2211 ext 2334 
Mt Rainier NP (after hours) Lewis County S&R: 360-740-1105",
Red Mountain,SW Slope,Washington,Cascades - South,5890,A,3000,180,3.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,This is a walk up peak near Snoqualmie Pass.,Climbing Washingtons Mountains by Jeff Smoot,"https://maps.google.com/maps?q=Red+Mountain+Snoqualmie+Pass,+WA&hl=en&ll=47.454268,-121.380301&spn=0.04968,0.130033&sll=47.454849,-121.392231&sspn=0.02484,0.065017&t=p&hnear=Red+Mountain&z=14",none,http://www.summitpost.org/red-mountain-snoqualmie/150919
Mt. Redoubt and Mt. Spickard,NE Face and South Slope,Washington,Cascades - North,8956,D,6200,330,6.50,two or more days,Summer-Autumn,Yes,4th Class,between 35 and 50 degrees,Yes,,Snow and Rock,"This route is an outstanding alpine climb, with steep snow and ice, good length, and completion on sound rock.  While the climb is in the more remote reaches of the North Cascades, the approach is from Canada - bring a passport.  Expect a long drive, a challenging approach, stunning scenery and a stiff route.","Classic Climbs of the Northwest by Alan Kearney 
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey",,"Nat. Park Service, Ranger Station Marblemount 206-873-4590",
Ruth Mountain,Ruth Glacier,Washington,Cascades - North,7106,B,4000,315,7.00,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,No,Scrambling,"This is an easy walk up peak, with great views of Mt. Shuksan, is a good novice climb in the North Cascades.  The approach is on well maintained trails. ","Climbs in the North Cascades   by Nelson and Potterfield 
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey 
Climbing Washington's Mountains by Jeff Smoot",,none,
Sahale Peak,Quien Sabe Glacier,Washington,Cascades - North,8680,B,5500,310,6.00,two or more days,Summer-Autumn,Yes,5th Class,up to 35 degrees,Yes,No,Snow and Rock,This is one of the standard routes up Sahale Peak. Sahale Peak give you incredible views of the North Cascades. Short bit of 5th class climbing on the summit block.,"Cascade Alpine Guide: Stevens Pass to Rainy Pass   by Fred Beckey 
Climbs in the Cascades Vol. 2 by Nelson and Potterfield
Climbing Washington's Mountains by Jeff Smoot",,Marblemount NPS Ranger Station 360-873-4590,
Sahale Peak,Sahale Arm - Cascade Pass,Washington,Cascades - Central,8680,B,5500,310,6.00,two or more days,Summer-Autumn,Yes,4th Class,up to 35 degrees,No,No,Snow,"This is an moderate ascent of a gentle peak in the Cascade Pass area in central WA, with outstanding views and classic alpine terrain: a nice approach trail, a short bit of glacier travel, and some 4th class rock scrambling on the summit block.  While commonly done with a high camp, it can be climbed car-to-car in a long day.","Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey 
Climbs in the Cascades Vol. 2 by Nelson and Potterfield
Climbing Washington's Mountains by Jeff Smoot",,Marblemount NPS Ranger Station 360-873-4590,
Mt. Seattle,Seattle Creek Basin,Washington,- Olympic Range,6246,A,5750,200,4.00,two or more days,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"A long approach, 19 miles along the North Fork of the Quinault river, leads to this remote peak in the heart of the Olympic National Park wilderness. Mt Seattle is located 1 _ miles West of the Low Divide. The approach from Seattle Creek basin to the West offers the most direct route to the Mt Noyes-Mt Seattle ridge. From the ridge the route ascends around the rotten East side of the first peak to the South peak, which is slightly higher.","Climbers Guide To The Olympic Mountains, 3rd or 4th Edition",,"Olympic National Park Headquarters 360-452-4501, Quinault Ranger Station, ONP 360-288-2444, Quinault Ranger Station, USFS 360-288-2525",
Seven Fingered Jack,Southwest Slope,Washington,Cascades - North,9100,B,6900,310,6.00,two or more days,Summer-Autumn,Yes,3rd Class,,No,No,Scrambling,"3rd class scramble. Need to have a helmet and usual bivy stuff. From Leroy Basin camp - scrambling, scree, boulders - loose rock.","75 Scrambles in Washington by Peggy Goldman
Cascade Alpine Guide, Volume II, Stevens Pass to Rainy Pass by Fred Beckey","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Seven+Fingered+Jack+WA&sll=37.0625,-95.677068&sspn=42.495706,93.164063&ie=UTF8&ll=48.149453,-120.815663&spn=0.017552,0.04549&t=p&z=15",none,http://www.summitpost.org/mountain/rock/150428/seven-fingered-jack.html
Sheep Gap Mountain,North Peak,Washington,Cascades - Central,5683,B,3600,250,4.50,two or more days,Summer-Autumn,No,4th Class,,Yes,No,Rock,"This peak is in the Monte Cristo area, a popular climb destination and historic mining area.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey ,,USFS Darrington Ranger District Office: 360-436-1155,
Sherpa Peak,South Side,Washington,Cascades - South,8505,B,5300,225,5.00,two or more days,Summer-Autumn,Yes,4th Class,up to 35 degrees,No,No,Scrambling,"While Sherpa Peak may not look like much when seen from it's massive neighbor Mt. Stuart, Sherpa is still a fine climb.  (Think of Little Tahoma Peak next to Mt. Rainier.)  The South Face is the easiest route on Sherpa, with some 4th class rock moves.  For a slightly more ambitious route, try the West Ridge, with 400 feet of so of 5th class rock.  Being east of the Cascade crest, this area is often drier than peaks further west. ","Climbing Washington's Mountains by Jeff Smoot 
Climbs in the Cascades Vol. 2 by Nelson and Potterfield 
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,"USFS Leavenworth Ranger station: 509-548-6997, USFS Cle Elum Ranger Station, 509-852-1100",
Mt. Shuksan,Price Glacier,Washington,Cascades - North,9127,D,4300,320,6.50,two or more days,Summer-Autumn,Yes,5th Class,greater than 50 degrees,Yes,Yes,Snow and Rock,"Begin at the Nooksack Cirque trail and traverse through some times thick brush to a ridge on the south side of Price Lake. Ascend rock slabs up and to the right until you top the ridge to find bivouac sites, or continue up and right onto the glacier to bivouac on the saddle below Nooksack Tower. From the saddle drop down to pass under Nooksack Tower and traverse right and upward along the Price Glacier to the glacial plateau, negotiating your way around and through crevasses and bergschrunds. Cross the plateau to the summit pyramid. Descend via the Fischer Chimneys route to Lake Ann. ",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,,"USFS Glacier Public Service Center: (360) 599-2714,  Whatcom County Sheriff: (206) 676-6711 ",
Mt. Shuksan,White Salmon Glacier ,Washington,Cascades - North,9127,C,5400,320,6.50,two or more days,Spring-Summer,Yes,4th Class,between 35 and 50 degrees,No,Yes,Snow,"The White Salmon Glacier is an alternative route to the Fischer Chimneys rouite on Shuksan.  It's a shorter and more direct approach, but can be well guarded by punishing brush.  Go early season (mid June in most normal snow years) for easiest passage.","Climbs in the Cascades Vol. 2 by Nelson and Potterfield
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey",,"Mt. Baker National Forest, Sedro Woolley office 360-856-5700
USFS Glacier Public Service Center: 360-599-2714 ",http://www.summitpost.org/mountain/rock/150347/mount-shuksan.html
Mt. Shuksan,Fisher Chimneys ,Washington,Cascades - North,9127,C,4300,320,6.50,two or more days,Summer-Autumn,Yes,4th Class,between 35 and 50 degrees,No,Yes,Snow,"Shuksan is located approximately six miles to the east of Mount Baker in the North Cascades.  Mssr. Beckey has this to say about this route:  €œIt is a clever and tortuous route, not technically difficult, but involving stimulating route finding.€ù  (Ahh, that €œstimulating€ù Beckey route finding!)  This route can be a challenge for those who find steep snow and class 3-4 rock with big exposure to be unnerving.  There have been some L O N G days spent on this peak by the unprepared.  Know the route as best you can and start early.","Climbs in the North Cascades by Nelson and Potterfield 
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey",,"USFS Glacier Public Service Center: (360) 599-2714,  Whatcom County Sheriff: (206) 676-6711 ",
Mt. Shuksan,Sulphide Glacier,Washington,Cascades - North,9127,C,6100,300,6.50,two or more days,Summer-Autumn,Yes,4th Class,up to 35 degrees,No,Yes,Snow,"Mt. Shuksan is located approximately six miles to the east of Mount Baker in the North Cascades. While the Sulphide Glacier route is regarded as the easiest route, it can still be a challenge for those who find steep snow and class 3-4 rock with big exposure to be unnerving.  There have been some L O N G days spent on this peak by the unprepared. ","Climbs in the North Cascades by Nelson and Potterfield 
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey 
Climbing Washington's Mountains by Jeff Smoot",,"USFS Glacier Public Service Center: 360-599-2714 
USFS Sedro Wooley Mt. Baker Ranger Station: 206-856-5700",
Silver Star Mountain,Silver Star Glacier,Washington,Cascades - North,8876,B,4900,340,7.00,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,Yes,Snow,"Located east of the Cascade crest, this peak can have markedly better weather than the rest of the range.  At close to 9,000 feet, its one of the highest peaks in the Washington Pass area.  Beckey describes Silver Star Mountain as ""the alpine climax of the Methow Mountains...a grand mountain fortress of magnificent diversity.""  Note: It's a LONG drive to this peak from Portland!","Climbs in the North Cascades, Vol 1 by Nelson and Potterfield 
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey 
Climbing Washington's Mountains by Jeff Smoot",,none,
Mt. Skokomish,Putvin Trail ,Washington,- Olympic Range,6434,B,5100,175,3.50,one day,Summer-Autumn,No,4th Class,up to 35 degrees,No,No,Scrambling,From Summitpost:,"Climbers Guide to the Olympic Mountains , Olympic Mountain Rescue",,"Olympic National Park, 360-452-4501
US Forest Service Hoodsport Ranger Station (360)877-5254",http://www.summitpost.org/mountain/rock/152044/mount-skokomish.html
Skyscraper Mountain & Burroughs Mountain,Shadow Lake,Washington,Mt. Rainier Nat. Park,7828,A,3000,185,3.50,one day,Spring-Summer,No,3rd Class,up to 35 degrees,No,No,Scrambling,Skyscraper and Burroughs Mountain are two smaller satellite peaks located on the northeast side of Mt. Rainier just west of Sunrise.  Burroughs is the taller of the two with three separate summit areas with outstanding views from the highest down onto the Winthrop Glacier.  Easy rock scrambling and beautiful alpine meadows.  For a longer day out begin at the White River campground. ,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334",
Sloan Peak,Corkscrew Route ,Washington,Cascades - Central,7835,C,6000,260,5.50,two or more days,Summer-Autumn,Yes,4th Class,up to 35 degrees,No,Yes,Snow,"Located in the central WA Cascades, Sloan Peak is the highest summit west of Glacier Peak.  Beckey calls it the €œMatterhorn of the Cascades.€ù  This climb involves moderate snow and glacier travel and some steeper 4th class rock.  Recent reports say the access trail (Sloan Peak Trail # 648) is in bad shape due to a lack of maintenance and avalanche damage.  Prepare for up to four river crossings and for attentive navigation to stay on the approach route.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,,USFS Darrington Ranger station: 360-436-1155,
Snoqualmie Mountain,South Ridge,Washington,Cascades - South,6278,A,4200,180,3.50,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"A prominent peak just off the Interstate at Snoqualmie Pass, an easy scramble route leads to the top. ","75 Scrambles in Washington by Peggy Goldman
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,"Mt. Baker-Snoqualmie NF, North Bend Office, 425-888-1421",
Snowfield Peak,Neve Glacier,Washington,Cascades - Central,8347,C,7200,310,5.00,two or more days,Summer-Autumn,Yes,4th Class,between 35 and 50 degrees,Yes,Yes,Scrambling,"Nelson and Potterfield write, ""... the interesting terrain, high alpine splendor and appealing views are guarded by a long, steep dry approach.""  The climbing is moderate across a large glacier, finishing with 400 feet of 3rd/4th class scrambling to the summit.  This peak is near Diablo Lake off of the North Cascades Highway.","Climbs in the Cascades Vol. II by Nelson and Potterfield 
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,Marblemount NPS Ranger Station 360-873-4590,
Snowking Mountain,Kindy Ridge,Washington,Cascades - North,7433,A,5400,340,6.50,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,Yes,Scrambling,"Jeff Smoot writes:  €œSnowking Mountain is a relatively modest but attractive glaciated peak rising south of the Cascade River about 10 miles west of Cascade Pass.  Snowking is heavily glaciated, surprisingly so for a peak of such modest elevation.  It is one of the most remote peaks included in this guide.€ù  ","Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey 
Climbing Washington's Mountains by Jeff Smoot 
75 Scrambles in Washington by Peggy Goldman",,"Marblemount NPS Ranger Station 360-873-4590, Mt. Baker-Snoqualmie NF, Mt. Baker Ranger Station 360-856-5700",
South Early Winter Spire,South Arete,Washington,Cascades - North,7807,E,2500,310,7.00,one day,Summer-Autumn,No,5th Class,,Yes,No,Rock,A moderate and interesting climb with short steps of 4th and 5th class climbing interspersed with 3rd class scrambling. The South Arete is an appealing route on good rock with plentiful belay points and anchors.,"Climbs in the Cascades Vol. 1 by Nelson and Potterfield 
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey ",,none,
Sperry Peak,NW Ridge,Washington,Cascades - Central,6000,A,4300,250,5.00,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,No,Scrambling,"Sperry offers a class 3-4 scramble ascent with no major technical difficulty, some snowfield travel, a moderate hike in and superb views.  It's often combined with it's neighbor Vesper Peak.","Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey
Climbing Washingtons Mountains by Jeff Smoot
75 Scrambles in Washington by Peggy Goldman",,"Mt. Baker / Snoqualmie NF, Darrington Ranger Station: 360-436-1155",http://www.summitpost.org/sperry-peak/176888
Mt. Redoubt and Mt. Spickard,NE Face and South Slope,Washington,Cascades - North,8956,D,6200,330,6.50,two or more days,Summer-Autumn,Yes,4th Class,between 35 and 50 degrees,Yes,,Snow and Rock,"This route is an outstanding alpine climb, with steep snow and ice, good length, and completion on sound rock.  While the climb is in the more remote reaches of the North Cascades, the approach is from Canada - bring a passport.  Expect a long drive, a challenging approach, stunning scenery and a stiff route.","Classic Climbs of the Northwest by Alan Kearney 
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey",,"Nat. Park Service, Ranger Station Marblemount 206-873-4590",
St. Andrews Rock,Puyallup Cleaver,Washington,Mt. Rainier Nat. Park,11500,C,6000,150,3.00,two or more days,Spring-Summer,Yes,none,between 35 and 50 degrees,No,Yes,Snow,"The peak is magnificently centered in the Sunset Amphitheater on Mt. Rainiers west side. Route generally follows the cleaver to a high camp at approx. 9,000 ft., then ascend the cleaver direct or skirt left on glacier to gain the summit.  The climb starts at low elevation on West Side Road in MRNP. Hike-in may include 4 miles of mountain bike (uphill) on all-weather road, but a downhill blast along what would be a boring slog on the descent. ",,,Mt. Rainier NP: 360-569-2211,
Mt. St. Helens,Moonbase - Shoestring Glacier,Washington,Cascades - South,8365,A,5500,80,1.50,one day,Spring-Summer,Yes,none,up to 35 degrees,No,No,Snow,"This rarely used route is accessed from Hwy 83 beyond the Marble Mtn. Snow Park.  Follow abandoned roads N825 & N826 to 3440 feet  Climb another 1,600 feet to access the Moonbase Camp.  Snow can be soft early season due to the low starting elevation, so bring skis or snowshoes in case. ","Mazama Annual, 1971 Mt. St. Helens via Moonbase by Marianna S. Kearney ppg. 16-21
Climbers Guide to the Cascade Volcanoes by Jeff Smoot 
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey 
Climbs in the Cascades by Nelson and Potterfield",,St Helens Nat Monument HQ: (206) 247-5800,
Mt. St. Helens,Monitor Ridge,Washington,Cascades - South,8365,A,4500,80,1.50,one day,Summer-Autumn,Yes,none,up to 35 degrees,No,No,Scrambling,"St. Helens is one of the lower and technically easier glaciated peaks in the Pacific NW, but still a strenuous climb as the starting elevation is relatively low. The peak is often underestimated; exposure and route finding challenges in low visibility can make this peak a serious as any in the Northwest. Watch out for the cornices on the summit crater! This is a classic NW ski climb, with long open runs, minimal avy danger, and no crevasses. This can be a nice overnight trip as well - ski in, make camp, and hike up for some tele turns. ","Climbers Guide to the Cascade Volcanoes by Jeff Smoot 
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey 
Climbs in the Cascades by Nelson and Potterfield",,St Helens Nat Monument HQ: (206) 247-5800,
Mt. St. Helens,Swift Creek - Worm Flows,Washington,Cascades - South,8365,A,5500,80,1.50,one day,Spring-Summer,Yes,none,up to 35 degrees,No,No,Snow,"This route is open year round from the Marble Mountain Snow Park, so it's usually used for early season ascents.  It's about 1,000 more vertical feet than Monitor ridge.  Snow can be soft early season due to the low starting elevation, so bring skis or snowshoes in case. ","Climbers Guide to the Cascade Volcanoes by Jeff Smoot 
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey 
Climbs in the Cascades by Nelson and Potterfield ",,St Helens Nat Monument HQ: (206) 247-5800,
Mt. St. Helens,Butte Camp,Washington,Cascades - South,8365,A,5500,80,1.50,one day,Spring-Summer,Yes,none,up to 35 degrees,No,No,Snow,"This route is open early season, and is an option for those who want to ski and get away from the crowds.  Like the Swift Creek route, it's about 1,000 more vertical feet than Monitor ridge.  This is a nice overnight trip - about a 3 1/2 mile pack in to a camp.   ","Climbers Guide to the Cascade Volcanoes   by Jeff Smoot 
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey 
Climbs in the Cascades by Nelson and Potterfield",,"St Helens Nat Monument HQ: (206) 247-5800 
Jacks Restaurant, Cougar WA, (360) 231-4276",
Stevens Peak,West Ridge,Washington,Mt. Rainier Nat. Park,6510,A,2100,150,3.00,one day,Summer-Autumn,No,3rd Class,up to 35 degrees,No,No,Scrambling,"Stevens Peak anchors the far east end of the Tatoosh Range, a mini-range in the south end of Mt. Rain-Here National Park. Stevens is seldom climbed, as it's rather far to get to with a somewhat problematic approach, especially when compared to to the ridiculously easy access of the Castle-Pinnacle Plummer area of the Tatoosh. Even Mssr. Beckey writes ""Allow a full day.""",Cascade Alpine Guide: Columbia River to Stevens Pass  by Fred Beckey,,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334",http://www.summitpost.org/mountain/rock/232349/stevens-peak.html
Stiletto Peak,Traverse,Washington,Cascades - North,7808,C,1800,300,6.00,two or more days,Summer-Autumn,No,5th Class,,Yes,No,Rock,"This climb is an seldom done traverse between Switchblade and Stiletto peaks, near Twisp Pass in the North Cascades.   Expect exposed 5th class traverses and superb scenery.",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey ,,none,
Mt. Stone,West Ridge,Washington,- Olympic Range,6612,B,5100,175,3.50,one day,Summer-Autumn,No,3rd Class,up to 35 degrees,No,No,Scrambling,From Summitpost:,Climbers Guide to the Olympic Mountains by Olympic Mt. Rescue,,"Olympic National Park Wilderness Information Center (WIC) in Port Angeles, WA at 360-565-3100",http://www.summitpost.org/mountain/rock/151845/mount-stone.html
Mt. Stuart,North Ridge,Washington,Cascades - South,9415,E,5500,275,5.00,two or more days,Summer-Autumn,Yes,5th Class,between 35 and 50 degrees,Yes,No,Snow and Rock,"This classic route has it all - a tough approach, glacier crossing, a stupendous bivy spot high on the North Ridge, and a whole day of 4th and 5th class pitches of some of the best quality rock in the Cascades. Bring guidebook photocopies for both the climb and descent.  All gear is carried over, so pack light - might want to leave the bag at home, and bring crampons that work with light approach shoes.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.","Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey  (use the new third edition) 
Climbs in the Cascades by Nelson and Potterfield",,"USFS Leavenworth Ranger station: 509-548-6977
USFS Cle Elum Ranger Station, 509-674-4411",
Mt. Stuart,West Ridge,Washington,Cascades - Central,9415,D,6700,275,5.00,two or more days,Summer-Autumn,Yes,5th Class,between 35 and 50 degrees,No,No,Snow and Rock,"This is a great climb on good rock on classic Mt. Stuart, and an fairly easy approach. Routefinding (climbing and descending) can be extremely tricky; this route is famous for overnight epics by those who get lost.  Research it well, and try a web search for the many posted trip reports.  Bring guidebook photocopies!  You can bivy on the route, go camp to camp (recommended), or, if you are fast and have small team, (4 or fewer) you can send this route car to car in a long day.  Combine this with a Ingalls Peak climb for a great Cascades granite weekend.  Use the nice creek at the trailhead to cool off your post climb beverages.  Forest fires are common in this area in the summer - call the USFS in Leavenworth WA before you leave town to be sure the trails are open.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey  (use the new third edition),,"USFS Leavenworth Ranger station: 509-548-6977
USFS Cle Elum Ranger Station, 509-674-4411",
Mt. Stuart,Ulrich's Couloir,Washington,Cascades - South,9415,C,6000,275,5.00,two or more days,Summer-Autumn,Yes,4th Class,between 35 and 50 degrees,No,No,Scrambling,"Mt. Stuart, one of the true classic peaks of the Cascades, has a series of famous routes up it's massive granite flanks.  Ulrich's is not necessarily one of them, but it's a good alternative to the often dusty trudge up Cascadian, the other ""easy"" route on Stuart.  Ulrich's takes a fairly direct line from the South, heading up a slightly more technical route than the oft climbed Cascadian Couloir, and returns via the Cascadian.  There's some exposed 4th class on this long gully, and a climb team needs to move fast and be efficient.  Binoculars can be good to scope the route on the approach over Longs Pass.  Be sure to bring a photocopy of the route guidebook to find the right gully.  Note:  Beckey writes:  €œThe couloir has loose bedrock and is not recommended in the late summer when the snow melts.€ù  Ulrichs might be better as an early season snow route.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,,"USFS Leavenworth Ranger station: 509-548-6977, USFS Cle Elum Ranger Station, 509-852-1100",
Mt. Stuart,Cascadian Couloir ,Washington,Cascades - South,9415,B,5800,275,5.00,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,No,Scrambling,"This route is a fairly popular Mazamas climb, but only because it is the easiest route up a much-desired peak.  This a L O N G day up a hot, south facing scree couloir, occasional snow patches and then (finally) fun 3rd class boulder hopping near the top.  Minimal technical skills and good endurance are required. Bring at least 3 liters of water if climbing in the late summer.  Leave the rope, helmet, harness and pro at home - this is a scramble route.  Use the nice creek at the trailhead to cool off your post climb beverages.  Early season is a more enjoyable climb on snow rather than gravel.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.","Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey  (use the new third edition)
 Climbign Washingtons Mountains by Jeff Smoot",,"USFS Leavenworth Ranger station: 509-548-6977, USFS Cle Elum Ranger Station, 509-852-1100",
Summit Chief Mountain,SE Ridge,Washington,Cascades - South,7464,A,4500,270,5.00,two or more days,Summer-Autumn,No,3rd Class,,No,No,Scrambling,An alpine scramble route with a relatively long (9 mile) approach hike.,"Climbing Washington's Mountains by Jeff Smoot
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,USFS Cle Elum Ranger District: 509-852-1100,
Tatoosh Range,Pinnacle-Eagle (6 peak) Traverse,Washington,Mt. Rainier Nat. Park,6000,A,4000,150,3.50,one day,Summer-Autumn,No,3rd Class,up to 35 degrees,No,No,Scrambling,"This particular traverse covers the 6 western peaks of the Tatoosh Range: Plummer, Denman, Lane, Wahpenayo, Chutla, and Eagle.  It can be done car to car in a long day.  A car shuttle is a fine idea.  All peaks are scramble peaks and do not require roped climbing.","Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey 
75 Scrambles in Washington by Peggy Goldman",,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334",
Wahpenayo & Eagle Peaks,Eagle Peak Trail,Washington,Mt. Rainier Nat. Park,6231,A,3500,150,3.50,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,Traverse of two of the peaks in the Tatoosh range. Only scrambling skills required.,"Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey 
75 Scrambles in Washington by Peggy Goldman","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Wahpenayo+peak+WA&sll=37.0625,-95.677068&sspn=42.495706,93.164063&ie=UTF8&ll=46.747066,-121.767054&spn=0.018026,0.04549&t=p&z=15&iwloc=addr","Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334",
Unicorn & Boundary,Standard Route,Washington,Mt. Rainier Nat. Park,6917,B,2500,150,3.50,one day,Spring-Summer,No,5th Class,up to 35 degrees,Yes,No,Snow and Rock,Traverse of two of the Tatoosh Peaks. Unicorn requires 5th class climbing. Boundary is a scramble.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334",http://www.summitpost.org/mountain/rock/151196/unicorn-peak.html
Plummer Peak,Standard Route,Washington,Mt. Rainier Nat. Park,6370,A,1700,160,3.50,one day,Summer-Autumn,No,none,,No,No,Scrambling,"Plummer Peak is usually done in conjunction with Pinnacle. It is a rounded summit just SW of Pinnacle. Plummer involves a 2nd class .25-mi heather scramble from trail's end at the saddle.  It's about the technically easiest ""climb"" the Mazamas ever do!","Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey
75 Scrambles in Washington by Peggy Goldman",,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334",
Pinnacle Peak,Reflection Lakes/Standard Route,Washington,Mt. Rainier Nat. Park,6562,A,1700,160,3.50,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"Although not the highest of the Tatoosh peaks, Pinnacle's central position and attractive form have made it the most popular ascent in the park. When the Mazama climbed it on July 26, 1897, they dubbed it the ""Matterhorn of the Cascades.  From Fred Beckey's ","Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey
75 Scrambles in Washington by Peggy Goldman",,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334",
The Castle,Standard Route,Washington,Mt. Rainier Nat. Park,6440,B,1600,160,3.50,one day,Summer-Autumn,No,5th Class,up to 35 degrees,No,No,Rock,"The Castle is a box shaped peak on the immediate E of Pinnacle Peak, often climbed in conjunction with Pinnacle and Plummer peaks. There is a short rock pitch to gain the summit. Incredible views of Mt. Rainier await on a clear day.  A rope and basic rock pro can help with beginner climbers.","Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey
75 Scrambles in Washington by Peggy Goldman",,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334",
